delta,group,gt_area,iou1,iou2,iou3,key,scene,top1_area_over_gt,union3_area_over_gt,union3_intrusion_other_gt_fraction,variant,view
0.0,unseen,5909,0.0660548379786993,0.060345719904771764,0.04794013650193241,5010,scene0059_00,0.5923168048739211,1.1567101032323575,0.5281638624725676,g0plus_step6000,2
0.0,unseen,3767,0.0,0.0,0.0,5011,scene0059_00,0.22166179984072207,1.8144411998938148,0.6134601316752012,g0plus_step6000,2
0.0,unseen,406,0.0,0.0,0.0,5016,scene0059_00,2.0566502463054186,16.834975369458128,0.6134601316752012,g0plus_step6000,2
0.0,unseen,1985,0.24391640423704553,0.21787495205216725,0.15051673880399258,5019,scene0059_00,3.3778337531486144,5.561712846347607,0.5919384057971014,g0plus_step6000,2
0.0,unseen,11279,0.21848462362931817,0.21706511393538996,0.2161681307683754,6001,scene0059_00,0.3103111978012235,0.9393563259154181,0.05502595563945257,g0plus_step6000,2
0.0,unseen,10096,0.21799333043352181,0.2055506186342197,0.16586684317943626,7007,scene0059_00,0.6641244057052298,1.0935023771790808,0.47391304347826085,g0plus_step6000,2
0.0,unseen,1933,0.18942849476790985,0.09874716385518398,0.09123222748815166,8032,scene0059_00,1.2933264355923435,5.193998965338851,0.4945219123505976,g0plus_step6000,2
0.0,unseen,423,0.09516672911202698,0.07248858447488585,0.03626499143346659,8033,scene0059_00,5.91016548463357,16.15839243498818,0.5762984637893197,g0plus_step6000,2
0.0,unseen,7,0.0,0.0,0.0,20034,scene0059_00,119.28571428571429,976.4285714285714,0.6134601316752012,g0plus_step6000,2
0.0,unseen,4668,0.0,0.0,0.0,5010,scene0059_00,0.13817480719794345,0.7958440445586975,0.4215343203230148,g0plus_step6000,3
0.0,unseen,3660,0.0,0.0,0.0,5011,scene0059_00,0.1762295081967213,1.0150273224043715,0.4215343203230148,g0plus_step6000,3
0.0,unseen,245,0.0,0.0,0.0,5016,scene0059_00,2.63265306122449,15.16326530612245,0.4215343203230148,g0plus_step6000,3
0.0,unseen,1892,0.21846571622539035,0.20087390761548066,0.14704807165052092,5019,scene0059_00,3.7431289640591965,5.633720930232558,0.48334740594802517,g0plus_step6000,3
0.03414693779030879,unseen,9573,0.08619880689054227,0.12034574468085106,0.11947281713344317,6001,scene0059_00,0.6927817820954769,0.7745743236185104,0.0,g0plus_step6000,3
0.012903136402855231,unseen,11864,0.17385377942998761,0.18675691583284285,0.1799262829600227,7007,scene0059_00,0.5969318948078219,0.7538772757923129,0.36024150268336314,g0plus_step6000,3
0.0,unseen,2079,0.19480209823557462,0.10387950707439525,0.09810344827586207,8032,scene0059_00,1.4102934102934104,5.126984126984127,0.5275354160803077,g0plus_step6000,3
0.0,unseen,396,0.07147456535737283,0.059184217541988805,0.05708408331190538,8033,scene0059_00,7.404040404040404,9.381313131313131,0.3617765814266487,g0plus_step6000,3
0.0,unseen,177,0.13982011447260834,0.09154175588865096,0.035625,20031,scene0059_00,6.875706214689266,27.084745762711865,0.4307467667918231,g0plus_step6000,3
0.00798069216010154,unseen,1499,0.056903559551668925,0.06488425171177047,0.060633759902498474,20034,scene0059_00,4.724482988659106,5.9666444296197465,0.6482558139534884,g0plus_step6000,3
0.0,unseen,4943,0.17730966992867805,0.10392766867587011,0.10392766867587011,8022,scene0072_02,1.871940117337649,3.5943758850900265,0.31355884504981146,g0plus_step6000,2
0.0,unseen,15045,0.3097064709806538,0.204507910869645,0.204507910869645,20031,scene0072_02,0.5659022931206381,1.1809238949817216,0.12033545336860471,g0plus_step6000,2
0.0,unseen,3211,0.21627573001436093,0.20480507706255666,0.12161507402422611,8022,scene0072_02,2.9563998754282155,5.488321395203986,0.2515462747545821,g0plus_step6000,3
0.0,unseen,11436,0.3047154248006599,0.2929359677525937,0.18001299439616666,20031,scene0072_02,0.6597586568730325,1.5410108429520812,0.12818475855416217,g0plus_step6000,3
0.0,unseen,5335,0.0,0.0,0.0,5015,scene0132_01,1.780693533270853,4.227366447985005,0.7132532257349354,g0plus_step6000,2
0.00848965226933951,unseen,7821,0.23049127927176707,0.23898093154110658,0.1598592040147766,5016,scene0132_01,1.2641605932745172,3.255338192047053,0.5239984289080911,g0plus_step6000,2
0.0,unseen,127,0.0,0.0,0.0,5017,scene0132_01,74.80314960629921,177.58267716535434,0.7132532257349354,g0plus_step6000,2
0.0,unseen,3606,0.12056737588652482,0.059679089026915114,0.04000693962526024,6013,scene0132_01,1.9356627842484748,7.31198003327787,0.8527705085902834,g0plus_step6000,2
0.28271091892325756,unseen,27651,0.267303428279038,0.4491035660340185,0.5500143472022956,7012,scene0132_01,0.3435680445553506,0.9535640663990452,0.1695300944362271,g0plus_step6000,2
0.0,unseen,3403,0.0,0.0,0.0,5015,scene0132_01,2.864825154275639,7.231266529532765,0.5409216514954487,g0plus_step6000,3
0.0,unseen,6387,0.24709825077652445,0.16948678506502587,0.11653099160310236,5016,scene0132_01,1.3887584155315484,4.454516987631126,0.458964535517205,g0plus_step6000,3
0.0,unseen,1374,0.03586614901090775,0.018865172363494918,0.015159803078846604,5017,scene0132_01,7.155749636098981,17.909752547307132,0.5251544213263979,g0plus_step6000,3
0.0,unseen,1047,0.01334668001334668,0.005081623578733405,0.0031280547409579668,6013,scene0132_01,4.801337153772684,23.50334288443171,0.5376706762028609,g0plus_step6000,3
0.310780787438316,unseen,24077,0.2743849602531741,0.4593772302144762,0.5851657476914901,7012,scene0132_01,0.4049092494912157,0.9820990987249242,0.1312272688826863,g0plus_step6000,3
0.002564102564102555,unseen,22277,0.5637488947833775,0.5663129973474801,0.5454970461983085,4004,scene0472_01,0.5878260088880909,0.6323562418638057,0.0,g0plus_step6000,2
0.08332828497001266,unseen,31642,0.5401344883988611,0.6234627733688738,0.6075374959483749,4004,scene0472_01,0.6069148599962075,0.7241324821439858,0.0,g0plus_step6000,3
0.0,unseen,17059,0.5526607246453246,0.4722211787686413,0.4231578947368421,6002,scene0559_01,0.7257752506008559,1.5361392813177794,0.12318259874069834,g0plus_step6000,2
0.01768483528704043,unseen,3378,0.13199413742564015,0.14967897271268057,0.10611664295874822,6003,scene0559_01,2.886915334517466,4.754884547069271,0.54028140953804,g0plus_step6000,2
0.0,unseen,731,0.07495898277276457,0.049169301136745815,0.02682765707574868,7015,scene0559_01,13.340629274965801,37.2749658002736,0.7213740458015268,g0plus_step6000,2
0.0,unseen,17387,0.2880366342301088,0.2595506683097924,0.1635652199886496,8013,scene0559_01,0.29418531086443894,1.2404670155863575,0.5019473293768546,g0plus_step6000,2
